country,year,growth
Japan,1960,11.262117827949414
Japan,1961,9.997696775223574
Japan,1962,6.7162536598365685
Japan,1963,7.713746772560848
Japan,1964,9.23443470628904
Japan,1965,5.121895756151629
Japan,1966,9.701775717529237
Japan,1967,10.46442172203712
Japan,1968,10.527807281393088
Japan,1969,11.783223677348275
Japan,1970,10.133699674494956
Japan,1971,4.731276131587592
Japan,1972,8.59311513210601
Japan,1973,8.19770618986535
Japan,1974,-1.5930558171435072
Japan,1975,2.8380681112874173
Japan,1976,4.00023176008617
Japan,1977,3.5895046409313514
Japan,1978,4.222946544980433
Japan,1979,6.804680756576897
Japan,1980,4.626598807151239
Japan,1981,4.176843956043963
Japan,1982,3.3766082964926225
Japan,1983,3.060738035670796
Japan,1984,4.463899015904382
Japan,1985,6.333356888723229
Japan,1986,2.8310766408367716
Japan,1987,4.1074270637959875
Japan,1988,7.146693707341534
Japan,1989,5.370152518935867
Japan,1990,5.572398299495118
Japan,1991,3.324340774826373
Japan,1992,0.819029858818543
Japan,1993,0.17106271963545083
Japan,1994,0.8635782437576678
Japan,1995,1.881656088426098
Japan,1996,2.6372873639508576
Japan,1997,1.5635665931917897
Japan,1998,-2.048867910341512
Japan,1999,-0.14101078210864149
Japan,2000,2.8601394312350426
Japan,2001,0.1843894833795101
Japan,2002,0.26225702934743467
Japan,2003,1.4135402737087022
Japan,2004,2.7442620967663256
Japan,2005,1.9340925375305407
Japan,2006,2.039469247275605
Japan,2007,2.337316529041966
Japan,2008,-0.7052493171409657
Japan,2009,-5.369364558590483
Netherlands,1946,68.80641925777333
Netherlands,1947,15.747263672352375
Netherlands,1948,10.678213646555456
Netherlands,1949,8.813471117389039
Netherlands,1950,3.5800908687186217
Netherlands,1951,2.0975561492035277
Netherlands,1952,2.0156991956584935
Netherlands,1953,8.69193502422343
Netherlands,1954,6.798053953271577
Netherlands,1955,7.4196320189855225
Netherlands,1956,3.6757703881461268
Netherlands,1957,2.8118646973816386
Netherlands,1958,-0.2966051220964827
Netherlands,1959,4.88883047992259
Netherlands,1960,8.414110464387825
Netherlands,1961,0.2889262450094465
Netherlands,1962,6.849300717615625
Netherlands,1963,3.620836724088905
Netherlands,1964,8.288704274927605
Netherlands,1965,5.233035667476371
Netherlands,1966,2.7558434010046984
Netherlands,1967,5.262860190377694
Netherlands,1968,6.41758849132934
Netherlands,1969,6.4381397563245235
Netherlands,1970,5.694941444372148
Netherlands,1971,4.221730627424569
Netherlands,1972,3.3099748368083937
Netherlands,1973,4.6879745591624555
Netherlands,1974,3.966073348464949
Netherlands,1975,-0.0913751689346265
Netherlands,1976,4.708755942079779
Netherlands,1977,2.7187045618586314
Netherlands,1978,2.3585482097030486
Netherlands,1979,2.2270972620184626
Netherlands,1980,1.2058335482552307
Netherlands,1981,-0.5137497679449154
Netherlands,1982,-1.283096631820635
Netherlands,1983,1.7579617834394767
Netherlands,1984,3.119194921414392
Netherlands,1985,2.656333218459217
Netherlands,1986,3.124725809220452
Netherlands,1987,1.8507283798080865
Netherlands,1988,2.98043431676287
Netherlands,1989,4.784594494506833
Netherlands,1990,4.064611024533749
Netherlands,1991,2.4050948162379404
Netherlands,1992,1.4895155915897407
Netherlands,1993,0.6513573315822807
Netherlands,1994,2.8643691523767556
Netherlands,1995,3.033190455865298
Netherlands,1996,3.4060044868821526
Netherlands,1997,4.278435444009343
Netherlands,1998,3.9235208337278893
Netherlands,1999,4.684485797370086
Netherlands,2000,3.9409320265696435
Netherlands,2001,1.9257823715188138
Netherlands,2002,0.0762894680628845
Netherlands,2003,0.3356523289252067
Netherlands,2004,2.236508363236833
Netherlands,2005,2.0465001417687256
Netherlands,2006,3.3942664055462757
Netherlands,2007,3.6131157488676457
Netherlands,2008,1.9958084258170805
Netherlands,2009,-4.172716161790158
New Zealand,1946,7.71131982204647
New Zealand,1947,11.932078935291424
New Zealand,1948,-9.922099220992209
New Zealand,1949,10.787437414656353
New Zealand,1950,14.675948766515766
New Zealand,1951,-7.635101636093211
New Zealand,1952,4.347826086956519
New Zealand,1953,3.420781893004121
New Zealand,1954,13.765232529221594
New Zealand,1955,1.8635916493605853
New Zealand,1956,5.1826814743280325
New Zealand,1957,2.8564141800561105
New Zealand,1958,3.927597322092735
New Zealand,1959,7.119339600133601
New Zealand,1960,0
New Zealand,1961,5.5904494632277535
New Zealand,1962,2.1557543030712223
New Zealand,1963,6.334916374148247
New Zealand,1964,4.873975688376242
New Zealand,1965,6.369426751592355
New Zealand,1966,6.308313605347449
New Zealand,1967,-4.5651034844118366
New Zealand,1968,-0.16127925331137494
New Zealand,1969,10.32479807527067
New Zealand,1970,-1.417489641421854
New Zealand,1971,5.18581721653395
New Zealand,1972,4.2842121075559625
New Zealand,1973,7.10437613436663
New Zealand,1974,5.952605105307041
New Zealand,1975,-1.1500380807311528
New Zealand,1976,2.439838713819764
New Zealand,1977,-4.871261313209818
New Zealand,1978,0.40322580645162365
New Zealand,1979,2.0395306717064354
New Zealand,1980,1.009
New Zealand,1981,2.961
New Zealand,1982,2.878
New Zealand,1983,-0.124
New Zealand,1984,6.858
New Zealand,1985,1.213
New Zealand,1986,1.81
New Zealand,1987,0.754
New Zealand,1988,-0.022
New Zealand,1989,0.846
New Zealand,1990,0.056
New Zealand,1991,-1.677
New Zealand,1992,0.771
New Zealand,1993,5.195
New Zealand,1994,5.859
New Zealand,1995,4.337
New Zealand,1996,4.019
New Zealand,1997,2.163
New Zealand,1998,-0.048
New Zealand,1999,4.329
New Zealand,2000,3.83
New Zealand,2001,2.614
New Zealand,2002,4.926
New Zealand,2003,4.135
New Zealand,2004,4.536
New Zealand,2005,2.813
New Zealand,2006,1.954
New Zealand,2007,3.193
New Zealand,2008,0.194
New Zealand,2009,-2.175
Norway,1946,10.201270069762503
Norway,1947,13.562973377477427
Norway,1948,6.95151660376605
Norway,1949,2.6670898660853926
Norway,1950,4.870087063262951
Norway,1951,5.417766737331298
Norway,1952,3.5243703837739115
Norway,1953,3.971652617445409
Norway,1954,5.047529534027162
Norway,1955,2.20773032955921
Norway,1956,5.3367637796116085
Norway,1957,3.01577649403737
Norway,1958,0
Norway,1959,4.215296930185586
Norway,1960,5.626653995865216
Norway,1961,6.267725636931298
Norway,1962,2.816005113383113
Norway,1963,3.824340978743357
Norway,1964,4.977651254523585
Norway,1965,5.310504933255955
Norway,1966,3.782033618076608
Norway,1967,6.247410645822127
Norway,1968,2.2456853929195386
Norway,1969,4.512824402711324
Norway,1970,1.9870126466419835
Norway,1971,5.130496148273189
