Coutnry_short,countrycode,Region,Unifed_party_code,Q10_PTV,Q13_left_right ,Q24_EU,Party_name_questionnaire,English name,Q7_EES,Q7,Q7n,Q2,Q2_EES,Q2n,Q9_Q25_EES,Q9,Q9n,q25,Q25n
GR,1300,,7,Q10_7,Q13_7,Q24_7,??????????? ??????? (????),Independent Greeks,1300611,1207,7,1207,1300611,7,1300611,1207,7,1208,7
GR,1300,,,,,,????? ???????? (??),Union of Centrists,20,1208,20,,,,20,1208,20,1209,20
GR,1300,,,,,,????? ??????? (???),Popular Unity,20,1209,20,,,,20,1209,20,1210,20
GR,1300,,,,,,????????? ????????,Ecologist Greens,20,1210,20,,,,,,,,
GR,1300,,,,,,???????? ????,Greek Solution,1300703,1211,20,,,,,,,,
GR,1300,,,,,,?????? ??????????? ????????? (????25), European Realistic Disobedience Front ,1300217,1212,20,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HU,1348,,1,Q10_1,Q13_1,Q24_1,Demokratikus Koalíció (DK),Democratic Coalition,1348330,1301,1,1301,1348330,1,1348330,1301,1,1302,1
HU,1348,,2,Q10_2,Q13_2,Q24_2,Fidesz -Magyar Polgári Szövetség - Kereszténydemokrata Néppárt (FIDESZ-KDNP),FIDESZ-KDNP Alliance,1348421,1302,2,1302,1348421,2,1348421,1302,2,1303,2
HU,1348,,3,Q10_3,Q13_3,Q24_3,Jobbik Magyarországért Mozgalom  (JOBBIK),Jobbik,1348700,1303,3,1303,1348700,3,1348700,1303,3,1304,3
HU,1348,,4,Q10_4,Q13_4,Q24_4,Lehet Más a Politika(LMP),Politics Can Be Different,1348110,1304,4,1304,1348110,4,1348110,1304,4,,4
HU,1348,,5,Q10_5,Q13_5,Q24_5,Magyar Szocialista Párt (MSZP),Hungarian Socialist Party,1348220,1306,5,1306,1348220,5,1348220,1306,5,1306,5
HU,1348,,6,Q10_6,Q13_6,Q24_6,Mi Hazánk Mozgalom (MH),Our Homeland Movement,1348702,1307,6,1307,1348702,6,1348702,1307,6,1307,6
HU,1348,,7,Q10_7,Q13_7,Q24_7,Momentum Mozgalom,Momentum Movement ,1348430,1308,7,1308,1348430,7,1348430,1308,7,1308,7
HU,1348,,8,,,,Magyar Kétfarkú Kutya Párt (MkKP),Hungarian Two-tailed Dog Party,1348959,1305,8,1305,1348959,8,1348959,1305,8,1305,8
HU,1348,,,,,,Kereszténydemokrata Néppárt (KDNP),Christian Democratic People's Party,,,,1309,1348421,1,,,,,
,,,,,,,,,,,,,,,,,,,
